2014-02-14 15:30:33,482 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@6833f0de: startup date [Fri Feb 14 15:30:33 PST 2014]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2014-02-14 15:30:34,552 | INFO  | PListStore:[/Users/davidlaube/Documents/Projects/ActiveMQ/amq-example/apache-activemq-5.9.0/data/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2014-02-14 15:30:34,584 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/Users/davidlaube/Documents/Projects/ActiveMQ/amq-example/apache-activemq-5.9.0/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2014-02-14 15:30:34,782 | INFO  | Apache ActiveMQ 5.9.0 (localhost, ID:Davids-MacBook-Pro-3.local-55545-1392420634649-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2014-02-14 15:30:34,803 | INFO  | Listening for connections at: tcp://Davids-MacBook-Pro-3.local:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-02-14 15:30:34,806 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2014-02-14 15:30:34,810 | INFO  | Listening for connections at: amqp://Davids-MacBook-Pro-3.local:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-02-14 15:30:34,812 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2014-02-14 15:30:34,817 | INFO  | Listening for connections at: stomp://Davids-MacBook-Pro-3.local:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-02-14 15:30:34,820 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2014-02-14 15:30:34,824 | INFO  | Listening for connections at: mqtt://Davids-MacBook-Pro-3.local:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2014-02-14 15:30:34,826 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2014-02-14 15:30:35,011 | INFO  | Listening for connections at ws://Davids-MacBook-Pro-3.local:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2014-02-14 15:30:35,011 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2014-02-14 15:30:35,013 | INFO  | Apache ActiveMQ 5.9.0 (localhost, ID:Davids-MacBook-Pro-3.local-55545-1392420634649-0:1) started | org.apache.activemq.broker.BrokerService | main
2014-02-14 15:30:35,014 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2014-02-14 15:30:35,015 | WARN  | Store limit is 102400 mb, whilst the data directory: /Users/davidlaube/Documents/Projects/ActiveMQ/amq-example/apache-activemq-5.9.0/data/kahadb only has 10345 mb of usable space - resetting to maximum available disk space: 10345 mb | org.apache.activemq.broker.BrokerService | main
2014-02-14 15:30:35,017 | ERROR | Temporary Store limit is 51200 mb, whilst the temporary data directory: /Users/davidlaube/Documents/Projects/ActiveMQ/amq-example/apache-activemq-5.9.0/data/localhost/tmp_storage only has 10345 mb of usable space - resetting to maximum available 10345 mb. | org.apache.activemq.broker.BrokerService | main
2014-02-14 15:30:35,338 | INFO  | Welcome to hawtio 1.2-M23 : http://hawt.io/ : Don't cha wish your console was hawt like me? ;-) | io.hawt.jmx.JmxTreeWatcher | main
2014-02-14 15:30:35,343 | INFO  | Starting hawtio authentication filter, JAAS realm: "activemq" authorized role: "admins" role principal classes: "org.apache.activemq.jaas.GroupPrincipal" | io.hawt.web.AuthenticationFilter | main
2014-02-14 15:30:35,385 | INFO  | Using file upload directory: /Users/davidlaube/Documents/Projects/ActiveMQ/amq-example/apache-activemq-5.9.0/tmp/uploads | io.hawt.web.UploadServlet | main
2014-02-14 15:30:35,396 | INFO  | jolokia-agent: Using access restrictor classpath:/jolokia-access.xml | /hawtio | main
2014-02-14 15:30:35,562 | INFO  | ActiveMQ WebConsole available at http://localhost:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2014-02-14 15:30:35,587 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2014-02-14 16:13:36,876 | INFO  | Apache ActiveMQ 5.9.0 (localhost, ID:Davids-MacBook-Pro-3.local-55545-1392420634649-0:1) is shutting down | org.apache.activemq.broker.BrokerService | Thread-26
2014-02-14 16:13:37,930 | INFO  | Connector openwire stopped | org.apache.activemq.broker.TransportConnector | Thread-26
2014-02-14 16:13:39,931 | INFO  | Connector amqp stopped | org.apache.activemq.broker.TransportConnector | Thread-26
2014-02-14 16:13:41,932 | INFO  | Connector stomp stopped | org.apache.activemq.broker.TransportConnector | Thread-26
2014-02-14 16:13:43,933 | INFO  | Connector mqtt stopped | org.apache.activemq.broker.TransportConnector | Thread-26
2014-02-14 16:13:44,013 | INFO  | Connector ws stopped | org.apache.activemq.broker.TransportConnector | Thread-26
2014-02-14 16:13:44,022 | INFO  | PListStore:[/Users/davidlaube/Documents/Projects/ActiveMQ/amq-example/apache-activemq-5.9.0/data/localhost/tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | Thread-26
2014-02-14 16:13:44,022 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-26
2014-02-14 16:13:44,023 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | Thread-26
2014-02-14 16:13:44,024 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | Thread-26
2014-02-14 16:13:44,391 | INFO  | Apache ActiveMQ 5.9.0 (localhost, ID:Davids-MacBook-Pro-3.local-55545-1392420634649-0:1) uptime 43 minutes | org.apache.activemq.broker.BrokerService | Thread-26
2014-02-14 16:13:44,392 | INFO  | Apache ActiveMQ 5.9.0 (localhost, ID:Davids-MacBook-Pro-3.local-55545-1392420634649-0:1) is shutdown | org.apache.activemq.broker.BrokerService | Thread-26
2014-02-14 16:13:44,393 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@6833f0de: startup date [Fri Feb 14 15:30:33 PST 2014]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | Thread-26
2014-02-14 16:13:44,423 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | Thread-26
2014-02-14 16:13:44,426 | INFO  | Destroying hawtio authentication filter | io.hawt.web.AuthenticationFilter | Thread-26
2014-02-14 16:17:50,487 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@6833f0de: startup date [Fri Feb 14 16:17:50 PST 2014]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2014-02-14 16:17:51,404 | INFO  | PListStore:[/Users/davidlaube/Documents/Projects/ActiveMQ/amq-example/apache-activemq-5.9.0/data/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2014-02-14 16:17:51,435 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/Users/davidlaube/Documents/Projects/ActiveMQ/amq-example/apache-activemq-5.9.0/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2014-02-14 16:17:51,779 | INFO  | KahaDB is version 5 | org.apache.activemq.store.kahadb.MessageDatabase | main
